Basin,Name,Date,Time,Indicator,Status,Latitude,Longitude,Max_Wind_Speed,Min_Pressure,34kt_NE,34kt_SE,34kt_SW,34kt_NW,50kt_NE,50kt_SE,50kt_SW,50kt_NW,64kt_NE,64kt_SE,64kt_SW,64kt_NW,Radius_Max_Wind,Year,Prev_Latitude,Prev_Longitude,Prev_In_Florida,Curr_In_Florida,Landfall_Detected
AL021928,UNNAMED,19280813,300,L,TS,24.7,-81.4,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1928,24.2,-81.1,False,True,True
AL041928,UNNAMED,19280917,0,L,HU,26.7,-80.0,125,929,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,30,1928,26.0,-78.8,False,True,True
AL021929,UNNAMED,19290928,600,,HU,24.7,-80.0,100,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1929,24.5,-79.7,False,True,True
AL021930,UNNAMED,19300907,1200,,TS,24.7,-84.9,35,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1930,24.1,-84.8,False,True,True
AL031932,UNNAMED,19320830,0,,TS,25.0,-79.8,55,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1932,24.5,-79.0,False,True,True
AL061932,UNNAMED,19320915,0,,TS,29.3,-85.7,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1932,28.5,-87.7,False,True,True
AL021933,UNNAMED,19330704,1200,,HU,24.7,-87.0,85,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1933,24.3,-86.4,False,True,True
AL051933,UNNAMED,19330730,1200,,HU,27.0,-79.8,65,988,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1933,26.8,-79.1,False,True,True
AL071933,UNNAMED,19330819,600,,TD,24.5,-84.5,30,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1933,24.0,-84.5,False,True,True
AL081933,UNNAMED,19330902,1800,,HU,24.6,-86.1,120,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1933,24.2,-85.1,False,True,True
AL111933,UNNAMED,19330904,500,L,HU,26.9,-80.1,110,948,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,15,1933,26.3,-79.0,False,True,True
AL031934,UNNAMED,19340722,1800,,TD,31.0,-80.4,30,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1934,31.7,-79.8,False,True,True
AL111934,UNNAMED,19341006,0,,TS,30.2,-87.5,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1934,29.5,-87.7,False,True,True
AL031935,UNNAMED,19350903,0,,HU,24.6,-80.5,160,892,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1935,24.1,-80.0,False,True,True
AL071935,UNNAMED,19351104,1800,L,HU,25.9,-80.1,85,973,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,10,1935,26.2,-78.9,False,True,True
