Basin,Name,Date,Time,Indicator,Status,Latitude,Longitude,Max_Wind_Speed,Min_Pressure,34kt_NE,34kt_SE,34kt_SW,34kt_NW,50kt_NE,50kt_SE,50kt_SW,50kt_NW,64kt_NE,64kt_SE,64kt_SW,64kt_NW,Radius_Max_Wind
AL051878,UNNAMED,18780908,200,L,TS,25.2N,81.0W,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL051878,UNNAMED,18780910,1100,L,HU,28.6N,82.6W,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL051878,UNNAMED,18780912,1200,L,HU,32.5N,80.4W,80,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL081878,UNNAMED,18781010,2100,L,TS,29.9N,85.4W,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL111878,UNNAMED,18781023,400,L,HU,34.8N,77.1W,90,963,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL021879,UNNAMED,18790818,1200,L,HU,34.5N,76.8W,100,971,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,15
AL021879,UNNAMED,18790819,600,L,HU,41.4N,70.8W,70,984,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031879,UNNAMED,18790823,200,L,HU,29.6N,94.4W,90,964,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041879,UNNAMED,18790901,1600,L,HU,29.5N,91.4W,110,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL051879,UNNAMED,18791007,500,L,TS,29.0N,89.2W,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL061879,UNNAMED,18791016,800,L,TS,30.4N,86.6W,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL071879,UNNAMED,18791027,2100,L,TS,29.0N,82.7W,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL011880,UNNAMED,18800624,1500,L,TS,28.7N,95.7W,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL021880,UNNAMED,18800813,100,L,HU,25.8N,97.0W,130,931,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,10
AL041880,UNNAMED,18800829,1200,L,HU,28.2N,80.6W,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041880,UNNAMED,18800831,400,L,HU,29.7N,84.8W,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL061880,UNNAMED,18800908,1600,L,TS,29.8N,83.6W,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL061880,UNNAMED,18800909,1000,L,HU,34.7N,77.1W,70,987,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL091880,UNNAMED,18801008,1900,L,HU,28.7N,83.0W,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL111880,UNNAMED,18801023,800,L,EX,41.3N,70.0W,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL111880,UNNAMED,18801023,1300,L,EX,44.0N,68.8W,60,991,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL011881,UNNAMED,18810803,1300,L,TS,30.2N,88.3W,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL021881,UNNAMED,18810813,2100,L,TS,28.0N,96.9W,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL051881,UNNAMED,18810828,200,L,HU,31.7N,81.1W,90,970,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,15
AL061881,UNNAMED,18810909,1600,L,HU,33.9N,78.1W,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,15
AL021882,UNNAMED,18820910,200,L,HU,30.4N,86.8W,110,949,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031882,UNNAMED,18820915,500,L,TS,29.8N,93.7W,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041882,UNNAMED,18820922,2200,L,TS,34.7N,77.0W,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041882,UNNAMED,18820924,500,L,TS,40.7N,72.8W,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL061882,UNNAMED,18821011,400,L,HU,29.5N,83.3W,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031883,UNNAMED,18830911,1300,L,HU,33.9N,78.5W,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031884,UNNAMED,18840911,100,L,TS,31.6N,81.2W,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL021885,UNNAMED,18850825,1200,L,HU,32.6N,80.1W,90,970,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031885,UNNAMED,18850830,2300,L,TS,30.1N,85.7W,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041885,UNNAMED,18850921,300,L,TS,29.0N,89.4W,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041885,UNNAMED,18850921,1200,L,TS,30.0N,85.6W,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL061885,UNNAMED,18850926,400,L,TS,29.6N,89.0W,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL081885,UNNAMED,18851011,2200,L,TS,29.4N,83.2W,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL011886,UNNAMED,18860614,1600,L,HU,29.6N,94.2W,85,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL021886,UNNAMED,18860621,1100,L,HU,30.1N,84.0W,85,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031886,UNNAMED,18860630,2100,L,HU,29.7N,85.2W,85,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041886,UNNAMED,18860719,100,L,HU,28.8N,82.7W,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL051886,UNNAMED,18860820,1300,L,HU,28.1N,96.8W,130,925,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,15
AL101886,UNNAMED,18861012,2200,L,HU,29.8N,93.5W,105,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031887,UNNAMED,18870614,700,L,TS,30.2N,88.7W,35,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041887,UNNAMED,18870727,1500,L,HU,30.4N,86.6W,75,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL091887,UNNAMED,18870921,1700,L,HU,26.1N,97.2W,75,973,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,40
AL131887,UNNAMED,18871019,200,L,HU,29.1N,90.4W,75,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL161887,UNNAMED,18871030,100,L,TS,28.1N,82.8W,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL011888,UNNAMED,18880617,600,L,HU,28.7N,95.7W,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL021888,UNNAMED,18880705,1600,L,TS,28.8N,95.6W,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031888,UNNAMED,18880816,1900,L,HU,25.8N,80.1W,110,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031888,UNNAMED,18880819,1600,L,HU,29.1N,90.7W,95,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL051888,UNNAMED,18880908,0,L,TS,26.7N,80.1W,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL061888,UNNAMED,18880926,1300,L,HU,41.6N,69.9W,70,985,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL071888,UNNAMED,18881011,100,L,HU,29.2N,83.1W,95,970,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,10
AL071888,UNNAMED,18881011,1600,L,TS,33.9N,78.1W,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL021889,UNNAMED,18890617,1500,L,TS,29.1N,82.9W,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL061889,UNNAMED,18890923,400,L,HU,29.1N,89.8W,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL061889,UNNAMED,18890923,1300,L,TS,30.3N,87.7W,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL091889,UNNAMED,18891005,2300,L,TS,24.7N,81.1W,35,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL091889,UNNAMED,18891006,100,L,TS,25.2N,80.9W,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL021890,UNNAMED,18900827,1600,L,TS,29.1N,90.9W,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL011891,UNNAMED,18910705,2200,L,HU,28.8N,95.5W,80,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031891,UNNAMED,18910824,1500,L,HU,25.4N,80.2W,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL071891,UNNAMED,18911007,800,L,TS,25.2N,81.3W,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL011892,UNNAMED,18920610,2300,L,TS,25.7N,81.3W,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041892,UNNAMED,18920912,700,L,TS,29.0N,90.6W,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL091892,UNNAMED,18921024,1900,L,TS,27.6N,82.8W,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL011893,UNNAMED,18930615,2300,L,TS,29.9N,83.7W,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041893,UNNAMED,18930824,1200,L,HU,40.7N,73.9W,75,986,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,30
AL061893,UNNAMED,18930828,500,L,HU,31.7N,81.1W,100,954,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,25
AL081893,UNNAMED,18930907,1400,L,HU,29.2N,91.1W,85,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL091893,UNNAMED,18931013,1300,L,HU,33.0N,79.5W,105,955,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,15
AL101893,UNNAMED,18931002,800,L,HU,29.3N,89.8W,115,948,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,10
AL101893,UNNAMED,18931002,1600,L,HU,30.3N,88.9W,95,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,15
AL111893,UNNAMED,18931023,300,L,TS,35.2N,75.6W,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL111893,UNNAMED,18931023,1100,L,TS,38.1N,75.6W,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL021894,UNNAMED,18940807,1800,L,TS,30.3N,87.6W,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041894,UNNAMED,18940925,1100,L,HU,24.7N,82.0W,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041894,UNNAMED,18940925,1900,L,HU,26.5N,82.0W,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041894,UNNAMED,18940927,700,L,HU,32.3N,80.7W,80,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041894,UNNAMED,18940928,1200,L,TS,34.7N,76.7W,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL051894,UNNAMED,18941009,300,L,HU,30.2N,85.5W,105,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL051894,UNNAMED,18941010,1500,L,HU,40.7N,72.9W,75,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL011895,UNNAMED,18950815,1900,L,TS,29.3N,89.6W,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL011895,UNNAMED,18950816,1300,L,TS,30.2N,88.8W,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041895,UNNAMED,18951007,400,L,TS,29.3N,94.8W,35,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL061895,UNNAMED,18951016,1300,L,TS,25.7N,81.3W,35,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL011896,UNNAMED,18960707,1700,L,HU,30.4N,86.5W,85,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL021896,UNNAMED,18960910,1300,L,HU,41.2N,70.6W,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,30
AL041896,UNNAMED,18960929,1100,L,HU,29.2N,83.1W,110,960,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,15
AL051896,UNNAMED,18961009,200,L,TS,26.4N,82.0W,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL021897,UNNAMED,18970910,1800,L,TS,24.4N,81.9W,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL021897,UNNAMED,18970913,500,L,HU,29.7N,93.8W,75,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
